A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
0.0,0.0,Sex,Job,Housing,Saving accounts,Checking account,0.0,Duration,0.0
0.0,67.0,male,2,own,Missing,little,1169.0,6,0.0
1.0,22.0,female,2,own,little,moderate,5951.0,48,0.0
2.0,49.0,male,1,own,little,Missing,2096.0,12,0.0
3.0,45.0,male,2,free,little,little,7882.0,42,0.0
4.0,53.0,male,2,free,little,little,4870.0,24,0.0
5.0,35.0,male,1,free,Missing,Missing,9055.0,36,0.0
6.0,53.0,male,2,own,quite rich,Missing,2835.0,24,0.0
7.0,35.0,male,3,rent,little,moderate,6948.0,36,0.0
8.0,61.0,male,1,own,rich,Missing,3059.0,12,0.0
9.0,28.0,male,3,own,little,moderate,5234.0,30,0.0
10.0,25.0,female,2,rent,little,moderate,1295.0,12,0.0
11.0,24.0,female,2,rent,little,little,4308.0,48,0.0
12.0,22.0,female,2,own,little,moderate,1567.0,12,0.0
13.0,60.0,male,1,own,little,little,1199.0,24,0.0
14.0,28.0,female,2,rent,little,little,1403.0,15,0.0
15.0,32.0,female,1,own,moderate,little,1282.0,24,0.0
16.0,53.0,male,2,own,Missing,Missing,2424.0,24,0.0
17.0,25.0,male,2,own,Missing,little,8072.0,30,0.0
18.0,44.0,female,3,free,little,moderate,12579.0,24,0.0
19.0,31.0,male,2,own,quite rich,Missing,3430.0,24,0.0
20.0,48.0,male,2,own,little,Missing,2134.0,9,0.0
21.0,44.0,male,2,rent,quite rich,little,2647.0,6,0.0
22.0,48.0,male,1,rent,little,little,2241.0,10,0.0
23.0,44.0,male,2,own,moderate,moderate,1804.0,12,0.0
24.0,26.0,male,2,own,Missing,Missing,2069.0,10,0.0
25.0,36.0,male,1,own,little,little,1374.0,6,0.0
26.0,39.0,male,1,own,little,Missing,426.0,6,0.0
27.0,42.0,female,2,rent,rich,rich,409.0,12,0.0
28.0,34.0,male,2,own,little,moderate,2415.0,7,0.0
29.0,63.0,male,2,own,little,little,6836.0,60,0.0
30.0,36.0,male,2,own,rich,moderate,1913.0,18,0.0
31.0,27.0,male,2,own,little,little,4020.0,24,0.0
32.0,30.0,male,2,own,moderate,moderate,5866.0,18,0.0
33.0,57.0,male,1,rent,Missing,Missing,1264.0,12,0.0
34.0,33.0,female,3,own,little,rich,1474.0,12,0.0
35.0,25.0,male,1,own,little,moderate,4746.0,45,0.0
36.0,31.0,male,2,free,little,Missing,6110.0,48,0.0
37.0,37.0,male,2,own,little,rich,2100.0,18,0.0
38.0,37.0,male,2,own,little,rich,1225.0,10,0.0
39.0,24.0,male,2,own,little,moderate,458.0,9,0.0
40.0,30.0,male,3,own,quite rich,Missing,2333.0,30,0.0
41.0,26.0,male,2,own,quite rich,moderate,1158.0,12,0.0
42.0,44.0,male,1,own,little,moderate,6204.0,18,0.0
43.0,24.0,male,2,rent,moderate,little,6187.0,30,0.0
44.0,58.0,female,1,free,little,little,6143.0,48,0.0
45.0,35.0,female,3,own,little,Missing,1393.0,11,0.0
46.0,39.0,male,2,own,quite rich,Missing,2299.0,36,0.0
47.0,23.0,female,0,rent,quite rich,little,1352.0,6,0.0
48.0,39.0,male,1,own,little,Missing,7228.0,11,0.0
49.0,28.0,female,2,own,moderate,Missing,2073.0,12,0.0
50.0,29.0,male,1,own,Missing,moderate,2333.0,24,0.0
51.0,30.0,male,3,own,little,moderate,5965.0,27,0.0
52.0,25.0,male,2,own,little,Missing,1262.0,12,0.0
53.0,31.0,male,2,own,Missing,Missing,3378.0,18,0.0
54.0,57.0,male,2,free,little,moderate,2225.0,36,0.0
55.0,26.0,male,1,own,Missing,Missing,783.0,6,0.0
56.0,52.0,male,3,own,Missing,moderate,6468.0,12,0.0
57.0,31.0,female,2,own,little,Missing,9566.0,36,0.0
58.0,23.0,female,3,own,little,rich,1961.0,18,0.0
59.0,23.0,female,1,rent,little,little,6229.0,36,0.0
60.0,27.0,male,2,own,little,moderate,1391.0,9,0.0
61.0,50.0,male,2,own,Missing,moderate,1537.0,15,0.0
